theta_0,theta_1,itnr
5.056997780744158,3.9778149697242258,66
5.080461898868225,3.9962717546333852,67
5.1032220934485695,4.01417483599527,68
5.125299482191504,4.0315408249162985,69
5.146714549272151,4.048385834169696,70
5.167487164340378,4.064725493145491,71
5.187636600956559,4.080574962352013,72
5.2071815544742535,4.095948947482339,73
5.226140159386418,4.110861713058755,74
5.2445300061512174,4.1253270956678785,75
5.262368157513072,4.139358516798728,76
5.279671164334072,4.1529689952956526,77
5.296455080950442,4.16617115943767,78
5.31273548006832,4.178977258655426,79
5.328527467212663,4.191399174896649,80
5.343845694742674,4.203448433650635,81
5.358704375446785,4.215136214642002,82
5.373117295729774,4.226473362203628,83
5.387097828404272,4.237470395338406,84
5.400658945098535,4.248137517479139,85
5.413813228291971,4.258484625955651,86
5.426572882989604,4.268521321177868,87
5.438949748046308,4.278256915543418,88
5.45095530715131,4.287700442078002,89
5.462600699483162,4.296860662816548,90
5.473896730045059,4.305746076932937,91
5.484853879690099,4.314364928625835,92
5.495482314845788,4.322725214767947,93
5.505791896946806,4.330834692325794,94
5.515792191584794,4.338700885556906,95
5.525492477383642,4.346331092991085,96
5.534901754608525,4.353732394202239,97
5.544028753516661,4.360911656377058,98
5.552881942457552,4.367875540686633,99
5.561469535730217,4.37463050846692,100
5.569799501204702,4.381182827213799,101
5.577879567714953,4.387538576398271,102
5.585717232229896,4.393703653107209,103
5.59331976680939,4.399683777514879,104
5.6006942253515,4.405484498190319,105
5.6078474501373465,4.4111111972454955,106
5.614786078179618,4.416569095329017,107
5.6215165473806215,4.421863256470032,108
5.628045102505594,4.426998592776817,109
5.634377800976818,4.431979868994399,110
5.640520518493905,4.436811706925454,111
5.64647895448548,4.441498589718576,112
5.652258637397307,4.446044866027905,113
5.65786492982178,4.450454754047954,114
5.663303033473518,4.454732345427402,115
5.668577994015704,4.458881609065466,116
5.673694705741625,4.4629063947943886,117
5.678657916115768,4.466810436951443,118
5.683472230178687,4.470597357843785,119
5.688142114819718,4.474270671109358,120
5.692671902921519,4.477833784976964,121
5.697065797380265,4.481290005428541,122
5.701327875005249,4.484642539266571,123
5.7054620903014825,4.48789449708946,124
5.70947227913883,4.491048896177663,125
5.713362162311057,4.494108663293219,126
5.717135348988117,4.497076637395309,127
5.720795340064866,4.499955572274335,128
5.724345531409312,4.502748139106991,129
5.727789217013424,4.5054569289346675,130
5.731129592049412,4.508084455067514,131
5.734369755834321,4.510633155416374,132
5.737512714705684,4.51310539475477,133
5.7405613848109045,4.515503466913013,134
5.7435185948129694,4.517829596906509,135
5.746387088514972,4.5200859430002,136
5.749169527405915,4.52227459871108,137
5.751868493130129,4.524397594750634,138
5.754486489882616,4.526456900909001,139
5.757025946732529,4.528454427882617,140
5.759489219876945,4.530392029047025,141
5.761878594827029,4.532271502176501,142
5.76419628852861,4.534094591112092,143
5.766444451419144,4.535862987379615,144
5.768625169422961,4.5375783317591125,145
5.770740465886664,4.539242215807225,146
5.772792303456456,4.5408561833338945,147
5.774782585899154,4.5424217318347635,148
5.776713159868571,4.543940313880607,149
5.7785858166189055,4.545413338465075,150
5.78040229366673,4.546842172312009,151
5.78216427640312,4.548228141143535,152
